id,routine_id,bounce_index,skill_name,start_frame,end_frame,start_time,end_time,apex_time,apex_frame,start_height,end_height,apex_height
82,6,11,Broken,616,631,20.53,21.03,20.03,601,238,235,267
83,6,12,To Feet (from back),631,673,21.03,22.43,20.9,627,235,205,264
84,6,13,In/Out Bounce,673,724,22.43,24.13,21.57,647,205,216,269
85,7,0,In/Out Bounce,108,141,3.6,4.7,4.1,123,203,205,244
86,7,1,In/Out Bounce,141,178,4.7,5.93,5.27,158,205,199,262
87,7,2,Full Twist Jump,178,217,5.93,7.23,6.47,194,199,201,286
88,7,3,Pike Jump,217,259,7.23,8.63,7.93,238,201,203,293
89,7,4,Half Twist to Seat Drop,259,307,8.63,10.23,9.3,279,203,193,286
90,7,5,Swivel Hips/Seat Half Twist to Seat Drop,307,342,10.23,11.4,10.73,322,193,193,266
91,7,6,To Feet (from seat),342,382,11.4,12.73,12.13,364,193,201,243
92,7,7,Tuck Jump,382,421,12.73,14.03,13.3,399,201,200,276
93,7,8,Half Twist Jump,421,460,14.03,15.33,14.67,440,200,202,288
94,7,9,Pike Jump,460,501,15.33,16.7,15.97,479,202,203,289
95,7,10,Back Drop,501,549,16.7,18.3,17.4,522,203,187,289
96,8,0,In/Out Bounce,114,145,3.8,4.83,4.47,134,225,221,278
97,8,1,In/Out Bounce,145,178,4.83,5.93,5.37,161,221,221,301
98,8,2,In/Out Bounce,178,210,5.93,7.0,6.47,194,221,225,305
99,8,3,In/Out Bounce,210,245,7.0,8.17,7.63,229,225,246,334
100,8,4,Front Drop,245,276,8.17,9.2,8.57,257,246,194,292
101,8,5,Broken,276,342,9.2,11.4,10.77,323,194,218,286
102,8,6,Seat Drop,342,382,11.4,12.73,11.9,357,218,199,283
103,8,7,Swivel Hips/Seat Half Twist to Seat Drop,382,421,12.73,14.03,13.2,396,199,196,270
104,8,8,Half Twist to Feet (from seat),421,440,14.03,14.67,14.57,437,196,209,284
105,8,9,Straddle Jump,440,480,14.67,16.0,15.57,467,209,204,296
106,8,10,Half Twist Jump,480,514,16.0,17.13,16.67,500,204,220,310
107,8,11,Tuck Jump,514,550,17.13,18.33,17.9,537,220,213,302
108,8,12,Full Twist Jump,550,586,18.33,19.53,18.83,565,213,209,290
109,9,0,In/Out Bounce,121,154,4.03,5.13,3.8,114,222,219,262
110,9,1,Front Drop,154,196,5.13,6.53,4.87,146,219,192,264
111,9,2,To Feet (from front),196,222,6.53,7.4,5.7,171,192,195,266
112,9,3,In/Out Bounce,222,258,7.4,8.6,6.93,208,195,211,235
113,9,4,In/Out Bounce,258,288,8.6,9.6,8.1,243,211,221,265
114,9,5,Straddle Jump,288,324,9.6,10.8,9.2,276,221,206,267
115,9,6,Seat Drop,324,364,10.8,12.13,10.1,303,206,194,267
116,9,7,Swivel Hips/Seat Half Twist to Seat Drop,364,401,12.13,13.37,11.23,337,194,195,271
117,9,8,Broken,401,461,13.37,15.37,12.57,377,195,206,237
118,9,9,Half Twist Jump,461,492,15.37,16.4,14.77,443,206,213,256
119,9,10,Tuck Jump,492,526,16.4,17.53,15.83,475,213,208,252
120,9,11,Full Twist Jump,526,559,17.53,18.63,16.93,508,208,205,259
121,9,12,In/Out Bounce,559,593,18.63,19.77,18.0,540,205,207,253
122,10,0,In/Out Bounce,113,146,3.77,4.87,4.3,129,208,207,256
123,10,1,In/Out Bounce,146,185,4.87,6.17,5.5,165,207,205,276
124,10,2,In/Out Bounce,185,224,6.17,7.47,6.87,206,205,205,284
125,10,3,In/Out Bounce,224,262,7.47,8.73,8.13,244,205,205,286
126,10,4,In/Out Bounce,262,304,8.73,10.13,9.4,282,205,203,290
127,10,5,Full Twist Jump,304,341,10.13,11.37,10.7,321,203,205,285
128,10,6,Straddle Jump,341,382,11.37,12.73,12.0,360,205,214,294
129,10,7,Half Twist to Seat Drop,382,420,12.73,14.0,13.33,400,214,199,282
130,10,8,Swivel Hips/Seat Half Twist to Seat Drop,420,463,14.0,15.43,14.8,444,199,199,271
131,10,9,To Feet (from seat),463,505,15.43,16.83,16.2,486,199,205,267
132,10,10,Tuck Jump,505,544,16.83,18.13,17.4,522,205,213,289
133,10,11,Half Twist Jump,544,583,18.13,19.43,18.83,565,213,204,287
134,10,12,Pike Jump,583,623,19.43,20.77,20.07,602,204,212,287
135,10,13,Back Drop,623,665,20.77,22.17,21.37,641,212,188,283
136,10,14,To Feet (from back),665,700,22.17,23.33,22.73,682,188,214,264
137,10,15,In/Out Bounce,700,737,23.33,24.57,23.97,719,214,203,266
138,11,0,In/Out Bounce,91,123,3.03,4.1,3.53,106,214,214,260
139,11,1,In/Out Bounce,123,157,4.1,5.23,4.63,139,214,213,270
140,11,2,In/Out Bounce,157,191,5.23,6.37,5.83,175,213,214,275
141,11,3,In/Out Bounce,191,226,6.37,7.53,6.97,209,214,213,282
142,11,4,In/Out Bounce,226,263,7.53,8.77,8.17,245,213,208,279
143,11,5,Full Twist Jump,263,297,8.77,9.9,9.27,278,208,208,286
144,11,6,Straddle Jump,297,333,9.9,11.1,10.47,314,208,206,283
145,11,7,Half Twist to Seat Drop,333,369,11.1,12.3,11.57,347,206,196,291
146,11,8,Swivel Hips/Seat Half Twist to Seat Drop,369,409,12.3,13.63,13.13,394,196,198,326
147,11,9,To Feet (from seat),409,449,13.63,14.97,14.67,440,198,208,269
148,11,10,Tuck Jump,449,483,14.97,16.1,15.5,465,208,210,279
149,11,11,Half Twist Jump,483,518,16.1,17.27,16.63,499,210,209,297
150,11,12,Pike Jump,518,556,17.27,18.53,17.93,538,209,211,286
151,11,13,Back Drop,556,600,18.53,20.0,19.13,574,211,194,297
152,11,14,To Feet (from back),600,629,20.0,20.97,20.37,611,194,215,255
153,12,0,In/Out Bounce,42,74,1.4,2.47,1.87,56,209,208,244
154,12,1,In/Out Bounce,74,107,2.47,3.57,2.97,89,208,209,249
155,12,2,In/Out Bounce,107,142,3.57,4.73,4.13,124,209,203,251
156,12,3,Full Twist Jump,142,181,4.73,6.03,5.3,159,203,203,278
157,12,4,Straddle Jump,181,224,6.03,7.47,6.67,200,203,204,288
158,12,5,Half Twist to Seat Drop,224,270,7.47,9.0,8.1,243,204,197,287
159,12,6,Swivel Hips/Seat Half Twist to Seat Drop,270,314,9.0,10.47,9.5,285,197,197,263
160,12,7,To Feet (from seat),314,347,10.47,11.57,11.0,330,197,203,254
161,12,8,Tuck Jump,347,386,11.57,12.87,12.13,364,203,206,278
162,12,9,Half Twist Jump,386,423,12.87,14.1,13.43,403,206,205,273
163,12,10,Pike Jump,423,465,14.1,15.5,14.73,442,205,204,288
164,12,11,Back Drop,465,512,15.5,17.07,16.1,483,204,193,277
165,13,0,Broken,11,70,0.37,2.33,1.67,50,220,206,265
166,13,1,Seat Drop,70,113,2.33,3.77,2.9,87,206,198,269
167,13,2,Swivel Hips/Seat Half Twist to Seat Drop,113,142,3.77,4.73,4.23,127,198,196,267
168,13,3,Broken,142,214,4.73,7.13,6.77,203,196,205,267
169,13,4,Half Twist Jump,214,247,7.13,8.23,7.67,230,205,207,273
170,13,5,Tuck Jump,247,286,8.23,9.53,8.77,263,207,203,262
171,14,0,In/Out Bounce,38,79,1.27,2.63,0.7,21,202,201,257
172,14,1,In/Out Bounce,79,120,2.63,4.0,1.97,59,201,200,284
173,14,2,Full Twist Jump,120,159,4.0,5.3,3.23,97,200,203,288
174,14,3,Straddle Jump,159,199,5.3,6.63,4.63,139,203,210,286
175,14,4,Half Twist to Seat Drop,199,237,6.63,7.9,5.97,179,210,197,292
176,14,5,Swivel Hips/Seat Half Twist to Seat Drop,237,288,7.9,9.6,7.27,218,197,194,280
177,14,6,To Feet (from seat),288,322,9.6,10.73,8.73,262,194,202,268
178,14,7,Tuck Jump,322,362,10.73,12.07,10.13,304,202,211,263
179,14,8,Half Twist Jump,362,400,12.07,13.33,11.37,341,211,202,294
180,14,9,Pike Jump,400,442,13.33,14.73,12.7,381,202,210,283
181,14,10,Back Drop,442,486,14.73,16.2,14.0,420,210,187,291
182,14,11,To Feet (from back),486,523,16.2,17.43,15.33,460,187,203,288
183,15,0,In/Out Bounce,53,88,1.77,2.93,1.23,37,231,213,264
184,15,1,In/Out Bounce,88,123,2.93,4.1,2.4,72,213,203,266
185,15,2,Full Twist Jump,123,155,4.1,5.17,3.47,104,203,203,266
186,15,3,Straddle Jump,155,191,5.17,6.37,4.57,137,203,206,278
187,15,4,Half Twist to Seat Drop,191,225,6.37,7.5,5.77,173,206,198,277
188,15,5,Swivel Hips/Seat Half Twist to Seat Drop,225,264,7.5,8.8,6.87,206,198,199,320
189,15,6,To Feet (from seat),264,303,8.8,10.1,8.33,250,199,209,246
190,15,7,Tuck Jump,303,337,10.1,11.23,9.77,293,209,206,271
191,15,8,Half Twist Jump,337,370,11.23,12.33,10.87,326,206,205,290
192,15,9,Pike Jump,370,406,12.33,13.53,11.57,347,205,206,301
193,15,10,Back Drop,406,448,13.53,14.93,12.83,385,206,191,282
194,16,0,In/Out Bounce,42,75,1.4,2.5,0.83,25,211,202,247
195,16,1,Full Twist Jump,75,115,2.5,3.83,1.9,57,202,205,250
196,16,2,Straddle Jump,115,155,3.83,5.17,3.13,94,205,206,277
197,16,3,Half Twist to Seat Drop,155,203,5.17,6.77,4.4,132,206,202,284
198,16,4,Swivel Hips/Seat Half Twist to Seat Drop,203,246,6.77,8.2,5.77,173,202,199,280
199,16,5,To Feet (from seat),246,279,8.2,9.3,7.23,217,199,206,262
200,16,6,Tuck Jump,279,320,9.3,10.67,8.77,263,206,205,254
