id,judgement_id,contributor_id,bounce_id,deduction_value,deduction_json
247,27,2,,0.4,
248,27,2,,0.4,
249,27,2,,0.3,
250,27,2,,0.3,
251,27,2,,0.3,
252,27,2,,0.5,
253,27,2,,0.3,
254,27,2,,0.4,
255,28,3,,0.4,
256,28,3,,0.4,
257,28,3,,0.5,
258,28,3,,0.3,
259,28,3,,0.3,
260,28,3,,0.4,
261,28,3,,0.3,
262,28,3,,0.5,
263,28,3,,0.4,
264,28,3,,0.4,
265,29,2,,0.2,
266,29,2,,0.3,
267,29,2,,0.4,
268,29,2,,0.3,
269,29,2,,0.3,
270,29,2,,0.2,
271,29,2,,0.2,
272,29,2,,0.4,
273,29,2,,0.3,
274,30,3,,0.3,
275,30,3,,0.3,
276,30,3,,0.5,
277,30,3,,0.2,
278,30,3,,0.3,
279,30,3,,0.3,
280,30,3,,0.3,
281,30,3,,0.4,
282,30,3,,0.3,
283,31,2,165,0.2,
284,31,2,166,0.2,
285,31,2,167,0.3,
286,31,2,168,0.3,
287,31,2,169,0.2,
288,31,2,170,0.2,
298,32,2,,0.2,
299,32,2,,0.2,
300,32,2,,0.2,
301,32,2,,0.2,
302,32,2,,0.1,
303,32,2,,0.2,
304,32,2,,0.3,
305,32,2,,0.2,
306,32,2,,0.2,
307,32,2,,0.1,
308,33,3,,0.1,
309,33,3,,0.2,
310,33,3,,0.1,
311,33,3,,0.0,
312,33,3,,0.0,
313,33,3,,0.1,
314,33,3,,0.3,
315,33,3,,0.1,
316,33,3,,0.2,
317,33,3,,0.1,
318,34,2,185,0.5,
319,34,2,186,0.4,
320,34,2,187,0.4,
321,34,2,188,0.4,
322,34,2,189,0.3,
323,34,2,190,0.3,
324,34,2,191,0.3,
325,34,2,192,0.4,
326,34,2,193,0.4,
327,35,3,185,0.3,
328,35,3,186,0.4,
329,35,3,187,0.4,
330,35,3,188,0.4,
331,35,3,189,0.3,
332,35,3,190,0.3,
333,35,3,191,0.4,
334,35,3,192,0.3,
335,35,3,193,0.4,
336,36,2,195,0.2,
337,36,2,196,0.2,
338,36,2,197,0.4,
339,36,2,198,0.3,
340,36,2,199,0.2,
341,36,2,200,0.2,
342,36,2,201,0.3,
343,36,2,202,0.4,
344,36,2,203,0.3,
345,37,3,195,0.3,
346,37,3,196,0.3,
347,37,3,197,0.4,
348,37,3,198,0.2,
349,37,3,199,0.3,
350,37,3,200,0.2,
351,37,3,201,0.3,
352,37,3,202,0.4,
353,37,3,203,0.3,
354,38,3,,0.3,
355,38,3,,0.2,
356,38,3,,0.3,
357,38,3,,0.5,
358,38,3,,0.4,
359,38,3,,0.3,
360,38,3,,0.1,
361,38,3,,0.1,
362,38,3,,0.3,
363,39,2,218,0.3,
364,39,2,220,0.3,
365,39,2,221,0.4,
366,39,2,222,0.3,
367,39,2,223,0.5,
368,39,2,224,0.4,
369,39,2,226,0.3,
370,39,2,227,0.3,
371,40,3,218,0.4,
372,40,3,220,0.3,
373,40,3,221,0.5,
374,40,3,222,0.4,
375,40,3,223,0.5,
376,40,3,224,0.4,
377,40,3,226,0.3,
378,40,3,227,0.4,
379,41,2,,0.4,
380,41,2,,0.4,
381,41,2,,0.4,
382,41,2,,0.2,
